metric,eta2,ci_lo,ci_hi,n_conditions,n_seeds_per_condition,histogram_sign_only
snap_B_prev_2,0.9729840820506863,0.9662881826808255,0.9989886509781911,2,5,False
snap_B_prev_1,0.9539458225303028,0.9236804898614334,0.9927853173900035,2,5,False
snap_TP_2,0.9444617631550524,0.9314730110413034,0.9986932202894142,2,5,False
snap_MP_2,0.9444111010259991,0.9120332961460275,0.9915236703937421,2,5,False
snap_TP_1,0.8886547358568226,0.8549975396234066,0.9771300474812705,2,5,False
traj_B_prev_0,0.7268069358069023,0.5995674474506616,0.9159285688437134,2,5,False
milling_score,0.7140327479934087,0.576574095876565,0.9323289914796214,2,5,False
traj_TP_0,0.6975357980081088,0.43248782351510573,0.9719951565746195,2,5,False
phi_spectral,0.6126871043682657,0.45331074592531323,0.844118340411981,2,5,False
phi_norm,0.5461492724725178,0.33564717475133937,0.8324157327128442,2,5,False
traj_B_prev_2,0.4853656925629641,0.2743727435797536,0.9059880779718891,2,5,False
traj_MP_2,0.41419738194266165,0.21805543425939206,0.843390550169499,2,5,False
traj_TP_2,0.4076305298720642,0.26189068495136875,0.8429615921144767,2,5,False
traj_TP_1,0.34840197606653206,0.026454831898075144,0.8217063291386193,2,5,False
snap_MP_0,0.3215766884238389,0.014391482073035654,0.9080235819293567,2,5,False
traj_B_prev_1,0.2823358706799066,0.010682683072381247,0.6838083584465697,2,5,False
snap_TP_0,0.28102716345671314,0.008076509770662625,0.8450780768277993,2,5,False
traj_B_base_0,0.24328630714509364,0.007154016241698273,0.6794556688391157,2,5,False
angular_momentum_norm,0.1968919501291558,0.0022142761584580143,0.7312877285542246,2,5,False
snap_B_base_1,0.19107341256474625,0.001896241950559784,0.7128408835661972,2,5,False
traj_MP_1,0.13998984072678325,0.0006500848183425928,0.5622504610586995,2,5,False
snap_B_prev_0,0.13951597667954435,0.0009536025504046632,0.6713978002054223,2,5,False
LCC_fraction,0.11141824870917073,0.0004421346965250851,0.7542208246554095,2,5,False
snap_MP_1,0.04397120533521865,0.00030715338622850096,0.6607155526425388,2,5,False
traj_B_base_1,0.02442532872061473,7.250599894193626e-05,0.5296582744058405,2,5,False
snap_B_base_0,0.01687230075110198,0.0001625409635925771,0.4677175766497579,2,5,False
snap_B_base_2,0.006107674358025873,0.0019288356217406993,0.9838902623899828,2,5,False
traj_B_base_2,0.004950374812194398,0.00012941977154071123,0.5032232000337584,2,5,False
local_density,0.003872713360792354,8.960841758146419e-05,0.5949126781435647,2,5,False
traj_MP_0,0.0017154091532956635,0.00014054754438772932,0.47851422369474145,2,5,False
polarization,0.0012269071319739432,9.253258455705694e-05,0.6994109400544407,2,5,False
