metric,eta2,ci_lo,ci_hi,n_conditions,n_seeds_per_condition,histogram_sign_only
traj_MP_2,0.9938389258052235,0.9918598406378951,0.9966777446920937,4,10,False
traj_TP_2,0.9934511268251601,0.9900251060443608,0.9976516429825723,4,10,False
traj_TP_1,0.9896925672020832,0.9872877330089628,0.9939703237706924,4,10,False
traj_B_prev_2,0.9800169841307848,0.9753728061953536,0.9878750984818472,4,10,False
snap_B_prev_1,0.9791395180513769,0.965980772356255,0.9939093286136906,4,10,False
traj_MP_1,0.9611872041501935,0.9508559649680357,0.9774328847562699,4,10,False
snap_TP_0,0.9555967350481361,0.9436703725544671,0.9754207502879995,4,10,False
snap_MP_1,0.9425610329133167,0.9176465022486632,0.9768668527047263,4,10,False
traj_TP_0,0.939655964146128,0.9243043815354421,0.9657673890501027,4,10,False
snap_TP_1,0.9285288261424277,0.8991889882974966,0.9680588155329319,4,10,False
phi_spectral,0.9184743943182184,0.8998657431678393,0.954172204201756,4,10,False
phi_norm,0.9096336689691925,0.8878546382107261,0.9469188976047149,4,10,False
traj_B_prev_0,0.8850719158101286,0.8599127718003884,0.931452997365216,4,10,False
traj_B_base_0,0.8820829654225718,0.8563363727049776,0.9277449883632721,4,10,False
snap_B_base_0,0.8262036531134522,0.7737014877113961,0.907045699400064,4,10,False
polarization,0.8256045836628826,0.8007180645193087,0.8930008177815137,4,10,False
traj_B_prev_1,0.7580107111796396,0.6911315765313808,0.8605818200934952,4,10,False
angular_momentum_norm,0.732367497893505,0.6833029800488796,0.8498621886824397,4,10,False
LCC_fraction,0.7085477025056994,0.6673587370056883,0.8162637706791013,4,10,False
local_density,0.6237572854152097,0.5794627070699822,0.7465627440660861,4,10,False
snap_B_prev_2,0.6162562418267303,0.5057624043538151,0.8568338488265986,4,10,False
snap_MP_2,0.3955000900729571,0.2572353537693731,0.6300181185357604,4,10,False
snap_TP_2,0.3510370797845075,0.22273016398558954,0.5782079981873328,4,10,False
traj_B_base_2,0.2786397632179439,0.14656312841634525,0.6188803951836226,4,10,False
snap_MP_0,0.2376739770988834,0.09951119513862107,0.5461413161349213,4,10,False
milling_score,0.2202799149408621,0.10997152729083175,0.5387707243600842,4,10,False
traj_MP_0,0.1819337932205448,0.05294161563933102,0.4990356393005036,4,10,False
snap_B_base_2,0.1359286574615622,0.040192464130894674,0.403952900313226,4,10,False
traj_B_base_1,0.09876960119469066,0.03362120876418742,0.3750781958895372,4,10,False
snap_B_base_1,0.05926968614381302,0.0213942574026943,0.3342184566196022,4,10,False
snap_B_prev_0,0.005061276363430017,0.005412106403596217,0.28153060350675424,4,10,False
