sweep,condition,metric,auc
jamming_sweep,alpha_0.2,traj_TP_0,0.9248434343434343
jamming_sweep,alpha_0.2,snap_MP_0,0.9197626262626263
jamming_sweep,alpha_0.2,local_density,0.9003055555555556
jamming_sweep,alpha_0.2,LCC_fraction,0.881449494949495
jamming_sweep,alpha_0.2,snap_TP_0,0.8653181818181818
jamming_sweep,alpha_0.2,snap_TP_1,0.8582979797979798
jamming_sweep,alpha_0.2,traj_TP_1,0.8510353535353535
jamming_sweep,alpha_0.2,snap_MP_1,0.8266666666666667
jamming_sweep,alpha_0.2,traj_TP_2,0.8087828282828283
jamming_sweep,alpha_0.2,snap_B_prev_1,0.7976040061633282
jamming_sweep,alpha_0.2,traj_MP_2,0.7823888888888888
jamming_sweep,alpha_0.2,traj_B_prev_2,0.7756574216743708
jamming_sweep,alpha_0.2,angular_momentum_norm,0.7555000000000001
jamming_sweep,alpha_0.2,snap_B_prev_0,0.7356497175141243
jamming_sweep,alpha_0.2,snap_B_base_1,0.7305752439650745
jamming_sweep,alpha_0.2,traj_MP_1,0.7227196969696968
jamming_sweep,alpha_0.2,traj_B_prev_0,0.7216076014381099
jamming_sweep,alpha_0.2,milling_score,0.6797323232323231
jamming_sweep,alpha_0.2,traj_B_base_2,0.6295095017976373
jamming_sweep,alpha_0.2,traj_B_base_0,0.6221186440677966
jamming_sweep,alpha_0.2,traj_B_prev_1,0.6115896250642013
jamming_sweep,alpha_0.2,phi_spectral,0.5925808080808082
jamming_sweep,alpha_0.2,phi_norm,0.5798282828282828
jamming_sweep,alpha_0.2,snap_B_base_0,0.5622984078068824
jamming_sweep,alpha_0.2,polarization,0.5514343434343434
jamming_sweep,alpha_0.2,snap_B_prev_2,0.5373626091422702
jamming_sweep,alpha_0.2,traj_MP_0,0.530310606060606
jamming_sweep,alpha_0.2,snap_B_base_2,0.5105495634309194
jamming_sweep,alpha_0.2,snap_TP_2,0.5089444444444444
jamming_sweep,alpha_0.2,snap_MP_2,0.5082020202020201
jamming_sweep,alpha_0.2,traj_B_base_1,0.5049306625577812
jamming_sweep,alpha_0.5,local_density,0.977469696969697
jamming_sweep,alpha_0.5,snap_TP_0,0.6594141414141415
jamming_sweep,alpha_0.5,LCC_fraction,0.6401414141414141
jamming_sweep,alpha_0.5,angular_momentum_norm,0.632010101010101
jamming_sweep,alpha_0.5,polarization,0.6256868686868686
