condition,sweep,snap_TP_0,snap_TP_1,snap_TP_2,snap_MP_0,snap_MP_1,snap_MP_2,snap_B_base_0,snap_B_base_1,snap_B_base_2,traj_TP_0,traj_TP_1,traj_TP_2,traj_MP_0,traj_MP_1,traj_MP_2,traj_B_base_0,traj_B_base_1,traj_B_base_2
alignment_sweep/wa_0.0,alignment_sweep,-0.36899823938408277,-0.19578645817791168,0.03331754243981296,0.15864939870490283,-0.08176419683089133,0.05556405196859091,0.17936901807869549,0.11745757748562798,0.031343469312585415,-0.584972098713855,-0.06653039300528185,0.09308883650144727,-0.29285906120378374,0.13882008892602427,0.1794186983378592,0.0654254581323305,0.09282862999553042,0.02646301804787078
alignment_sweep/wa_0.6,alignment_sweep,0.09432723583301005,0.3130763033033928,-0.12732590273734734,-0.18922144967324162,0.2565426277938587,-0.06969873335124216,-0.10539781374942897,0.30396251714624783,-0.08561948770926339,-0.08761302258959744,0.20033720270955804,0.10421951001163796,-0.352615559070156,0.27626749425561753,0.13294142221956967,0.018433179723502304,0.0024121455019621386,0.12492844364850286
alignment_sweep/wa_1.2,alignment_sweep,0.05711557399062994,0.08916475187251946,-0.10678981497891536,-0.4107904867058577,0.11417146608576288,-0.1299621752782385,-0.1509794553272814,0.09663525180495734,-0.11635237098364173,0.015248724299483749,0.17103339202053053,0.07935483630369246,-0.20248575094745005,0.24936587986034434,0.09147030628180627,0.026262657398702278,-0.14487671993048656,0.02753375431134715
alignment_sweep/wa_1.8,alignment_sweep,0.23010354808868724,0.36514875712452616,0.03243085969773264,0.0019098206559040312,0.3506012950971322,0.08411730919989316,-0.13636854029560902,0.23473784031140085,-0.06496809415390978,-0.030064754856614237,0.1872370266479663,0.07074060539542235,-0.1033690430008057,0.20985646504132968,0.07408291621773296,-0.045898001017215605,0.07441885555152705,0.22359739400631531
jamming_sweep/alpha_0.2,jamming_sweep,0.6853719674136849,0.6051147384440929,0.053877216930027796,-0.4506281519501059,0.641013398585539,0.06936710423554372,-0.7968034770278809,0.5617712568037851,0.09887399241430987,0.49340515054758133,0.671122914863776,0.6636775984005252,-0.5779147145713347,0.7184954194145206,0.692295067291337,-0.625248524266757,-0.38361358136954216,0.6306879308003984
jamming_sweep/alpha_0.5,jamming_sweep,0.19747247172570198,0.3123750410313031,-0.13116809101080215,0.259123869774104,0.27125421503386943,-0.16025189185039868,0.025908173173250313,0.169491797946187,-0.13291100258343155,-0.1917579302318641,-0.015472531407597504,-0.17035514590531328,0.061054579093432,0.25136522335949385,-0.08463670375720514,0.1523357427985759,0.1376536004103331,0.17705617729228446
leadership_sweep/lambda_0.8,leadership_sweep,0.5191131270329145,0.49007788487362347,-0.6362117092478937,0.3405747366536361,0.5519232490823908,-0.602876883663078,-0.4016922768675924,0.5119811629424076,-0.5910866905845358,0.36529796186326874,0.36923696696607083,0.2568574293744365,-0.23162543642386077,0.45346304198621346,0.29371877339056507,-0.29400613411833604,-0.034778031600047284,0.29338623786645035
leadership_sweep/lambda_1.6,leadership_sweep,0.37802512607800415,0.31656769418996744,-0.4780623313510607,-0.15453134791560977,0.32651965026409235,-0.48259910317882876,-0.3316585238043864,0.2796938261358919,-0.4657009564627357,0.4789919727850556,0.488854406015935,0.39146469174759035,-0.11303751007131983,0.3897824594909134,0.3727161825832444,-0.39099610067352003,-0.04538956810588116,-0.11268854086618947
leadership_sweep/lambda_2.4,leadership_sweep,0.5344812151233923,0.5153382471427292,-0.4858735147629484,0.029050162633165223,0.5327653606278534,-0.44030468774805276,-0.4135906169566758,0.45454125117519223,-0.4219043803096594,0.411342544239205,0.5342126465936557,0.304616394616693,-0.06491898182686281,0.5402554385127271,0.3530780937602578,-0.43502920641770565,-0.311762575689273,0.12082710322655596
split_merge_sweep/split_merge,split_merge_sweep,0.4949121184088806,0.4957775058935871,-0.351940553376664,-0.13441854913312046,0.40203216854167284,-0.3307071349311882,-0.3609111785829879,0.340787695685553,-0.3101548233280994,0.003834561785682313,0.04146399689654143,-0.005224504942293866,-0.09322312076631555,0.2055892095132941,0.02252507987977555,-0.05050629594809118,-0.1137664322159787,0.0698563234752959
milling_sweep/mu_0.4,milling_sweep,-0.34697561994568943,0.009504341857897405,0.10922573642214548,-0.08592700904180717,-0.056145743188803665,0.08508431964309604,-0.2554598276898417,-0.08348749754741487,0.054929642587426594,-0.36183641192444266,-0.24144310823311746,-0.3398134634272368,0.5638447077079167,-0.3592402494703231,-0.3369067212135156,0.4373256477043293,-0.21128933096597086,-0.17667449529235557
milling_sweep/mu_0.8,milling_sweep,0.2646593655814508,0.2008594192951568,-0.20165095659385235,0.11897585867327146,0.1627972904419444,-0.21716830730473705,0.28035078525962115,0.3077982420690303,-0.2577880869741828,-0.27919190713497055,-0.320118766972039,-0.3460509704824234,-0.1567843394706216,-0.12910686043388736,-0.3584515033185982,0.22685449193163076,0.2903891955296043,-0.42284661658937756
milling_sweep/mu_1.2,milling_sweep,0.10614425114141622,0.18734146996508608,-0.07309540150995195,0.12910686043388736,0.14614604159828115,-0.08582256572468741,0.07390225482792102,0.3884282235904155,-0.12907849513740116,0.031153949449434507,0.04386619319029572,-0.3976935142492055,-0.353689833189102,0.019426456984273817,-0.40813711506294786,-0.48428710139790077,0.18781762956494755,-0.2720722872802691
noise_sweep/sigma_0.0,noise_sweep,0.44543582704186685,0.4263376204828265,-0.2793154384757582,0.07519918832622123,0.4297991704216525,-0.29696662243499017,-0.2738159456252023,0.49251850814703463,-0.2838537653307151,0.2185998627316403,0.2721046820447017,0.10665940534303762,-0.46436990838829034,0.3325475217092894,0.22884362166172476,-0.2502812755267173,0.06336508542508258,0.07749099074859415
noise_sweep/sigma_0.1,noise_sweep,0.11185879263525408,0.4061502193309659,-0.06605786609846907,-0.08973172987974097,0.3232968279072543,-0.06674425910513941,0.06086340027433997,0.31040488263489663,-0.04835229213779714,-0.3271612306406851,-0.05163976007878009,-0.12166154397063648,-0.259422279251589,0.168377547670914,-0.12994240697084536,0.1324692138156374,0.17300073457818077,0.10268696298965325
noise_sweep/sigma_0.2,noise_sweep,-0.21430276625585626,0.43876637522007694,0.19426414247480658,-0.3408283847094983,0.03331741816120079,0.1892803323828959,0.15182713499684047,0.09427705513318838,0.2050902636056893,-0.4500760944167586,-0.06599325594580882,0.004401539792903822,-0.5566828802482766,0.009608785175017159,-0.0578466772104682,0.32145554305442103,0.13472201353419425,-0.01066855997628546
noise_sweep/sigma_0.5,noise_sweep,0.1100832562442183,0.41704216525916854,0.2472713167291582,0.09728148966011159,0.31292709856465034,0.26326666137878757,-0.02516838000708968,0.34835829797117,0.23787724723067366,-0.6417146608576287,-0.09376025782578852,-0.16303601802393242,-0.24183104055384794,-0.011399242039927187,-0.0861209752021724,0.5612718277514911,0.02028274079026812,0.017520049543368076
n_sensitivity_N80/wa_0.0,n_sensitivity_N80,0.0458207752678225,-0.11636477574527765,-0.13688042732237174,-0.0983259228313091,-0.11749873175972066,-0.09975828832323713,-0.23849082194103233,-0.13572122127521846,-0.15384615384615385,-0.4625496105756318,0.07187192265226343,-0.12962907701948614,-0.11093372325505056,0.09598340843305184,-0.04449285309301422,0.3043786508022132,0.26427569625325587,-0.006319066627622027
n_sensitivity_N80/wa_0.6,n_sensitivity_N80,0.07888454537316106,0.11679746948763091,-0.23149947591801082,0.08510638297872339,0.16533377100056695,-0.16267107319751944,-0.03472872550346033,0.09560285436863276,-0.1350739022548279,-0.19627883381576194,0.09787830861508161,-0.23411715556086055,-0.3200889260242905,0.25573692220464916,-0.07730297514249052,0.12995699952221693,-0.18381122525075766,0.10923447463387904
n_sensitivity_N80/wa_1.2,n_sensitivity_N80,0.2835486855062516,0.3524066724359165,-0.02072453821133359,0.08791143206708243,0.41453552564829454,0.13135985198889916,-0.2285190265554922,-0.06076244225325923,0.10796356518656659,-0.257930231864164,-0.08016770612634656,-0.12415326310763629,-0.10151890424039867,0.11612604816328966,0.07354301572617945,0.05667123899942974,-0.0024494932267606967,0.15706013172414154
