sweep,condition,n_seeds,shared_baseline_alias,phi_xseed_mean,phi_xseed_ci_lo,phi_xseed_ci_hi,phi_norm_xseed_mean,phi_norm_xseed_sigma,polarization_xseed_mean,sigma_u_xseed_mean,sigma_u_source,bimodality_dip_p,bimodality_modes,bimodality_std_iqr,surrogate_z_mean_over_windows,surrogate_obs_above_ci,surrogate_interpretation,tier1a_outcome,section_4_2_instance,section_4_3_instance,leader_block_partition,notes
alignment_sweep,wa_0.0,10,,361.1610124904042,357.88539657899054,364.5229806887086,0.914063710285617,0.0139720182662608,0.1382661613372705,0.7941,tier1c_rerun,0.8610518984536475,1,0.694768670112354,,,,,False,False,False,
alignment_sweep,wa_0.6,10,,138.730548063462,116.66696757046951,161.48079035981164,0.3625428043714763,0.0888820721268073,0.7841003344384101,0.5201,tier1c_rerun,0.10223144730333156,2,0.5514310117245121,,,,,True,False,False,
alignment_sweep,wa_1.2,10,,117.98111949039236,97.70442600755582,140.48484054942375,0.3127054743228935,0.094544297144665,0.7115083062759713,0.5061,tier1c_rerun,0.9921563465655285,1,0.6414196184142512,,,,,False,False,False,
alignment_sweep,wa_1.8,10,,118.070493704786,95.89499574543987,140.30375024698503,0.3146959768252809,0.0924272626127707,0.7042912728906454,0.507,tier1c_rerun,0.9620690531917628,1,0.6802396384164001,9.96,True,real_integration_detected,,False,False,False,
jamming_sweep,alpha_0.2,10,,187.2252198219118,180.77131618917912,193.46625727103057,0.4751816562785332,0.0254044910100675,0.3421107466985078,0.5925,tier1c_rerun,0.9842068180398238,1,0.8566992477701049,16.17,True,real_integration_detected,,False,True,False,
jamming_sweep,alpha_0.5,10,,140.1722591860492,129.71811802000985,151.7617662672829,0.3676745602337714,0.0418502186077518,0.6832440033469499,0.5331,tier1c_rerun,0.7200169091889445,1,0.5951148095937723,,,,,False,False,False,
leadership_sweep,lambda_0.8,10,,113.34627891110048,69.59823274102283,162.54643682581255,0.3357103390650776,0.1976970222081452,0.6626920796940791,0.7009,tier1c_rerun,0.9069153778433036,1,0.6609141346442245,,,,outcome_4,False,False,False,
leadership_sweep,lambda_1.6,10,,6.939324454520585,5.356853776615322,8.470926104074683,0.0251097919398938,0.0091563288298542,0.6048591152754696,0.6188,tier1c_rerun,0.9920941108203278,1,0.9191868464966182,8.38,True,real_integration_detected,outcome_4,False,False,True,
leadership_sweep,lambda_2.4,10,,8.728830857919231,3.956569773292061,14.548403284085133,0.0301395599873022,0.0311133801080513,0.579003224969669,0.603,tier1c_rerun,0.9526261877025266,2,2.6162057921893793,,,,outcome_4,False,False,True,
split_merge_sweep,split_merge,10,,105.406873684848,86.87550664484091,129.53207301793415,0.3285510380115643,0.0970958509494849,0.6457440284683781,,not_computed,0.7906510875009054,1,0.7271790491891049,-5.08,False,compressibility_flag,,False,False,False,"single-seed compressibility flag (surrogate z=-5.08, observed below null)"
