metric,eta2,ci_lo,ci_hi,n_conditions,n_seeds_per_condition,histogram_sign_only
snap_MP_1,0.9830143317373167,0.97225095582834,0.9949620934154321,3,10,False
snap_B_prev_1,0.9701315611580278,0.9529936423048886,0.9905654479141315,3,10,False
snap_TP_1,0.9700111346516045,0.9516969702603868,0.9902632182547115,3,10,False
snap_TP_0,0.958986904375566,0.9422844762803534,0.9796629589927106,3,10,False
traj_MP_2,0.9388524542503849,0.9037301289402773,0.9782339870405149,3,10,False
traj_TP_1,0.9375304475119494,0.9122063522678264,0.9690191144505599,3,10,False
traj_B_prev_2,0.9362591543433917,0.8965266781746735,0.9789583475430598,3,10,False
traj_TP_2,0.9304602239262321,0.8846831757745733,0.9812617269279793,3,10,False
traj_TP_0,0.9154201644761791,0.8930334810375727,0.9527831673323535,3,10,False
traj_B_prev_0,0.8954980444565991,0.8698433562083366,0.9394269221408336,3,10,False
traj_MP_1,0.8835509459312396,0.8139221163140717,0.959580258352412,3,10,False
local_density,0.8321963167920304,0.7651116022391017,0.9361258704568075,3,10,False
LCC_fraction,0.8081803172182179,0.7625272986952267,0.8954925260264596,3,10,False
traj_B_base_0,0.7856658776741584,0.6760502303613228,0.8938791191208478,3,10,False
traj_B_prev_1,0.7405798947114693,0.6164258584174684,0.8993826557235672,3,10,False
polarization,0.7089041737648435,0.6157643618074984,0.8404537242613739,3,10,False
snap_B_prev_2,0.5788456814521257,0.33865306154215247,0.8238330199095389,3,10,False
angular_momentum_norm,0.5725943033278957,0.4807827753165679,0.7443036687605499,3,10,False
phi_spectral,0.5300292605169643,0.38573156104496303,0.7728222681764435,3,10,False
phi_norm,0.45276455289700623,0.30398757529354165,0.7019322892026207,3,10,False
snap_B_base_0,0.39451835473805985,0.2606962511189344,0.6028078800769904,3,10,False
snap_MP_2,0.28286377867635576,0.06295834905340844,0.6158394824669293,3,10,False
snap_B_base_2,0.28286377867635576,0.06295834905340844,0.6158394824669293,3,10,False
snap_B_base_1,0.26535917807875037,0.1048363897681321,0.5817585021599756,3,10,False
snap_MP_0,0.2474701392490375,0.1370193900710932,0.7462508932359296,3,10,False
snap_TP_2,0.14001721349415439,0.012233919239168231,0.4788710130695578,3,10,False
snap_B_prev_0,0.12338632750708523,0.03645632813860631,0.4639549942602496,3,10,False
traj_B_base_2,0.05679469027151762,0.006585821603721003,0.38465448474073266,3,10,False
traj_MP_0,0.045798057903213125,0.01046538454660246,0.5251942719774095,3,10,False
milling_score,0.032911645851556495,0.0026558050333360173,0.3935107485692055,3,10,False
traj_B_base_1,0.0012710707626654501,0.0018841726554607728,0.23107249149721937,3,10,False
