metric,eta2,ci_lo,ci_hi,n_conditions,n_seeds_per_condition,histogram_sign_only
phi_norm,0.684762017096245,0.5995892377856882,0.8286075210545022,4,10,False
phi_spectral,0.6746189915113863,0.5963526580725039,0.8136818827661954,4,10,False
traj_TP_0,0.41694910796725204,0.22731418809043313,0.6719589848018873,4,10,False
local_density,0.264779962019953,0.09626432849637517,0.5533015260693768,4,10,False
LCC_fraction,0.2555150477208222,0.09531478561018075,0.5422221962750665,4,10,False
polarization,0.2201243879437075,0.0878810130233487,0.4764159716573916,4,10,False
snap_TP_1,0.17599712980292176,0.07812730787935762,0.48783403592739616,4,10,False
snap_B_base_0,0.17268648531276878,0.0401149653104391,0.48191879090531786,4,10,False
angular_momentum_norm,0.15684866347655838,0.030400201893602208,0.4971914831016841,4,10,False
traj_B_prev_0,0.15382569283423403,0.04887187921738971,0.41569306165731157,4,10,False
traj_B_prev_1,0.1332193921614928,0.025290768331474124,0.42131341272944167,4,10,False
traj_MP_0,0.12143629075691027,0.05918173205655064,0.5752877339899496,4,10,False
traj_TP_1,0.09445378501422161,0.02141843146875012,0.3869275790915404,4,10,False
snap_B_prev_1,0.08901327319647465,0.019529231200977083,0.3099043472210066,4,10,False
traj_MP_1,0.07811465047952015,0.013882909807656765,0.3665304889670014,4,10,False
snap_B_base_1,0.07171966848148081,0.01315194578310322,0.39256819635465073,4,10,False
snap_B_prev_2,0.07058004211850251,0.014831900307335815,0.37977300100055505,4,10,False
milling_score,0.06781309592913876,0.01348547212218552,0.3775758647149123,4,10,False
snap_MP_1,0.06663365720636252,0.01596365179178778,0.303284356407557,4,10,False
snap_TP_0,0.06073464939041367,0.013519768151445713,0.31338399780683834,4,10,False
traj_B_base_0,0.05802543714089321,0.020183505752619475,0.310774051460217,4,10,False
traj_B_base_2,0.05552693025843562,0.009731725941699767,0.33697254761083434,4,10,False
traj_B_base_1,0.04076146724764029,0.009234667026122774,0.28201774255893025,4,10,False
snap_B_base_2,0.03679341156298565,0.008546623698711743,0.2826632851802485,4,10,False
snap_MP_2,0.03679341156298565,0.008546623698711743,0.2826632851802485,4,10,False
traj_MP_2,0.03617496611549822,0.01405100902010267,0.2858457499827385,4,10,False
snap_TP_2,0.02866539721768257,0.009004774998872792,0.28909404825563406,4,10,False
traj_B_prev_2,0.027855884728431826,0.011318892810270924,0.3180708796255562,4,10,False
snap_MP_0,0.020149628852652486,0.007032620862106954,0.2669485901190537,4,10,False
traj_TP_2,0.01800654730662903,0.008061209146182214,0.24531041477262647,4,10,False
snap_B_prev_0,0.011461229361849842,0.005141281350179251,0.3019252724277188,4,10,False
