metric,eta2,ci_lo,ci_hi,n_conditions,n_seeds_per_condition,histogram_sign_only
phi_norm,0.9587546457765791,0.9433680851950068,0.9875801671169239,4,10,False
milling_score,0.8882663544606906,0.8275317235550519,0.9733384519064137,4,10,False
snap_TP_1,0.8871984467014543,0.8493769596573362,0.9523545947244046,4,10,False
phi_spectral,0.8821410227611212,0.8383347316327739,0.9495309759900041,4,10,False
traj_TP_0,0.8660004214833562,0.8223681299752407,0.9450088501460211,4,10,False
snap_B_prev_1,0.7887544949210966,0.653949438544865,0.932347815129245,4,10,False
snap_B_prev_0,0.7294205083963827,0.4832549259750331,0.9256633949652174,4,10,False
snap_MP_1,0.7054730237028402,0.6049758129142226,0.8852550226431466,4,10,False
snap_B_base_0,0.676689271582852,0.5931284786886849,0.8068261098933615,4,10,False
traj_TP_1,0.6365226524569614,0.5684685856958007,0.7790681042524649,4,10,False
traj_B_prev_1,0.5662777137022625,0.42466376742841405,0.8187584475300239,4,10,False
snap_TP_0,0.5528314220748017,0.3317013442883714,0.7960467655415859,4,10,False
traj_B_prev_2,0.5242732809452951,0.41782325707633466,0.7327760174474917,4,10,False
traj_MP_1,0.5022560887012448,0.3653158552356482,0.7728470674851063,4,10,False
traj_B_prev_0,0.48225419438609124,0.36125714086524685,0.6795728586874535,4,10,False
traj_B_base_0,0.4565788611867522,0.3225251862729103,0.6831571679309038,4,10,False
traj_MP_2,0.4297843715656535,0.32189363990005176,0.6581697452141574,4,10,False
snap_MP_0,0.4017205679865354,0.08046427025043151,0.8666932070105416,4,10,False
angular_momentum_norm,0.3832309432526167,0.15829337427284526,0.6990191090272724,4,10,False
traj_TP_2,0.3492239655917826,0.250816909256583,0.6604015876319289,4,10,False
traj_MP_0,0.23050431528915388,0.1481423985201769,0.6098038506097381,4,10,False
snap_B_base_1,0.21265385396573633,0.07993575085481706,0.5130121896008716,4,10,False
snap_B_base_2,0.20507547309365798,0.06295172902819132,0.5001344469398797,4,10,False
snap_MP_2,0.20375332854287836,0.062124822543587796,0.5009199814726077,4,10,False
snap_TP_2,0.18379005646328261,0.05366038870989457,0.4830470656996971,4,10,False
traj_B_base_1,0.14145664405921818,0.0382526358606827,0.4188778280999428,4,10,False
snap_B_prev_2,0.10786414519799649,0.015390638693077881,0.48824681041626344,4,10,False
polarization,0.09876677401203499,0.039399832312571936,0.36189273510386083,4,10,False
traj_B_base_2,0.07186861260814281,0.018565181387674858,0.36313669250382635,4,10,False
LCC_fraction,0.04011722859758849,0.010739013113808768,0.3034406855652156,4,10,False
local_density,0.02008342093662637,0.008057169372034908,0.27985924588292177,4,10,False
