metric,eta2,ci_lo,ci_hi,n_conditions,n_seeds_per_condition,histogram_sign_only
snap_TP_1,0.9971847789652449,0.9965654186313092,0.9991649883728675,4,5,False
traj_MP_1,0.9928124193077368,0.9909484879286596,0.9975720387970286,4,5,False
traj_MP_2,0.9910764911981672,0.9869384685082349,0.9985030176802889,4,5,False
snap_TP_0,0.9900125489479419,0.9864505116266294,0.9966376294823602,4,5,False
snap_B_prev_1,0.9890370458184907,0.9802002944974642,0.9994554755000253,4,5,False
snap_MP_1,0.9807986432578577,0.9676885280636666,0.9978632731616878,4,5,False
snap_B_prev_2,0.9797548786536359,0.9722701267659642,0.9954161967770445,4,5,False
traj_B_prev_2,0.9761912304257788,0.9679595090756398,0.9918998638081152,4,5,False
traj_TP_1,0.9724562676955697,0.9640618848002981,0.991369784263686,4,5,False
traj_TP_2,0.9608982969686665,0.9470641179612761,0.9918973735749895,4,5,False
phi_spectral,0.9331271213344425,0.9125758096067244,0.9805631161677355,4,5,False
snap_MP_2,0.9284846765710524,0.9062099837327493,0.9838546066127966,4,5,False
phi_norm,0.9152240267414835,0.8886024078157796,0.9736799847477524,4,5,False
traj_TP_0,0.8889680919044692,0.8565487709107971,0.9667018306931588,4,5,False
traj_B_base_0,0.8824900921867199,0.8466873225364104,0.9687863486977071,4,5,False
snap_B_base_2,0.8452385922795905,0.7617735727265653,0.9742693449838418,4,5,False
angular_momentum_norm,0.8451712488453033,0.8161060158240209,0.946679012817213,4,5,False
snap_TP_2,0.8359738492553318,0.7863915596341555,0.9560915611466506,4,5,False
polarization,0.8248995591858846,0.7422425520723863,0.9700145858463547,4,5,False
traj_B_prev_0,0.7849227338290364,0.6901992963096714,0.9715729315102838,4,5,False
snap_B_base_0,0.7797147539550673,0.7185645004197441,0.9336035505855633,4,5,False
local_density,0.7543131322457761,0.6959053466924416,0.9143536819834959,4,5,False
milling_score,0.6566374803040976,0.458843085613345,0.9192558148154655,4,5,False
traj_B_base_1,0.6488401064390518,0.5673577028300869,0.8637034999810266,4,5,False
LCC_fraction,0.27542412538164496,0.12768159423253508,0.6573836730801587,4,5,False
snap_MP_0,0.2590293462521873,0.12359395957588809,0.8697882551950438,4,5,False
traj_B_prev_1,0.2206968149360273,0.06467715992309078,0.7460378062295612,4,5,False
snap_B_base_1,0.1846039650910226,0.09916166316481809,0.613426149091402,4,5,False
traj_B_base_2,0.1818466393424197,0.08514615606468377,0.7971137829821383,4,5,False
traj_MP_0,0.07589672235269476,0.05982681387364725,0.8118253043566637,4,5,False
snap_B_prev_0,0.006377170915987436,0.0117960348760329,0.5049871557286248,4,5,False
