metric,eta2,ci_lo,ci_hi,n_conditions,n_seeds_per_condition,histogram_sign_only
traj_B_prev_0,0.9295874221341155,0.9101440487143551,0.959721614660556,5,10,False
traj_TP_0,0.9161356183962781,0.8964899175901346,0.9487934118731127,5,10,False
traj_B_base_0,0.7897304572115917,0.740628320076685,0.8718230137536699,5,10,False
snap_TP_1,0.7850013188619037,0.7292850857067307,0.8803260022451598,5,10,False
snap_B_prev_1,0.587990515010676,0.43741175790927295,0.9743466743478187,5,10,False
snap_MP_1,0.5662074835476438,0.46141480167348825,0.9397001828735548,5,10,False
phi_norm,0.45760584317319963,0.3739906499322075,0.6398718765834582,5,10,False
snap_TP_2,0.43810239093576986,0.3129768443095726,0.6570330676425525,5,10,False
traj_B_prev_1,0.4217379948007991,0.19695999561076585,0.7415262461809216,5,10,False
snap_MP_2,0.4029028612060213,0.2753545709520739,0.6895367479626898,5,10,False
snap_B_prev_2,0.40041491355041914,0.28096008952318946,0.6127766494342275,5,10,False
phi_spectral,0.39072894278800263,0.30444557283933305,0.5920011440071735,5,10,False
traj_MP_1,0.3208224931504441,0.10875132328007116,0.6552025110886279,5,10,False
traj_B_prev_2,0.27487992832422975,0.16476239890499889,0.5691933927055893,5,10,False
traj_TP_1,0.2742711177180283,0.16913619719957407,0.5243281415497265,5,10,False
angular_momentum_norm,0.2521974705401622,0.12326571579646846,0.5356776523040717,5,10,False
snap_B_base_0,0.2491989186154067,0.1241691827273953,0.5145153864391311,5,10,False
traj_MP_2,0.24471473702684,0.1419762545542252,0.5423825257519066,5,10,False
polarization,0.19985228041656466,0.10010096533732431,0.49630280310216196,5,10,False
traj_B_base_1,0.1930302922148113,0.11651529046658689,0.4334395643880712,5,10,False
milling_score,0.1881767300423228,0.08729373425069115,0.4733587958487895,5,10,False
local_density,0.1645877609412442,0.08325582169260412,0.4458607383606609,5,10,False
snap_TP_0,0.15574604967814806,0.06410766414202981,0.4501908162137454,5,10,False
LCC_fraction,0.1430579573405561,0.0629071587782106,0.42772999235195713,5,10,False
traj_TP_2,0.14292549192323845,0.0660472527591188,0.40685444858015957,5,10,False
snap_B_prev_0,0.13534587822043329,0.0436518772964527,0.4411378722004534,5,10,False
snap_MP_0,0.13504852760097533,0.06562052424786989,0.4020305389273466,5,10,False
snap_B_base_1,0.08404674440906894,0.02977836752245955,0.3496905134058044,5,10,False
traj_MP_0,0.07293911631779273,0.02014564394336017,0.36922436385247714,5,10,False
traj_B_base_2,0.03909341781434209,0.02146528199895125,0.2829912173925005,5,10,False
snap_B_base_2,0.01642495559856331,0.01323318236382765,0.4460275223208061,5,10,False
