metric,eta2,ci_lo,ci_hi,n_conditions,n_seeds_per_condition,histogram_sign_only
phi_norm,0.9896866067886319,0.9865795831991641,0.9974763879629263,9,5,True
phi_spectral,0.98806579345272,0.9817241427550694,0.9981975896086901,9,5,True
traj_MP_0,0.9700808145698976,0.9631456221489896,0.9875038618528398,9,5,True
traj_B_base_0,0.9698279111201762,0.9677589404348848,0.9838937041962539,9,5,True
traj_TP_0,0.9303162635346943,0.9258872441868362,0.9627882836899626,9,5,True
traj_B_base_1,0.6808053858095925,0.6281577217139613,0.8354558278607233,9,5,True
traj_B_prev_2,0.5390125282923363,0.4434063314217871,0.7760792374469889,9,5,True
traj_TP_1,0.5111568332100299,0.4298896923025845,0.7569755323173382,9,5,True
traj_MP_2,0.46761132746512657,0.38416245128440346,0.7231944390617294,9,5,True
snap_B_base_1,0.42569953403751143,0.3411313055859895,0.7072916891454578,9,5,True
traj_TP_2,0.40779884510308667,0.32740139969344584,0.7125144955656275,9,5,True
traj_B_prev_0,0.26623084194684477,0.2274455115697724,0.59919788078342,9,5,True
traj_MP_1,0.25746434518349076,0.18642056966173376,0.6003193526293147,9,5,True
traj_B_prev_1,0.13377003039336302,0.11276148156851265,0.5135654528280053,9,5,True
snap_B_base_2,0.11933974340153854,0.09828133231409261,0.517985433591575,9,5,True
snap_B_base_0,0.04781950697583465,0.06877489136736094,0.41678394562493554,9,5,True
traj_B_base_2,0.03738369462135124,0.058678476231443885,0.4434042843572863,9,5,True
milling_score,0.0017722373849930425,0.05306356143869423,0.3563353267865333,9,5,True
polarization,0.0010256475582246579,0.0532962577670269,0.36568418144652487,9,5,True
local_density,0.00017339618246787878,0.047010563356327514,0.3742244769605696,9,5,True
angular_momentum_norm,0.00011650055859703871,0.05262485726970117,0.356114936974172,9,5,True
snap_MP_1,6.967495423208013e-30,0.05757908940777005,0.36715842697441,9,5,True
snap_B_prev_1,6.520370027289423e-30,0.05547733717390077,0.37062690826051203,9,5,True
snap_TP_1,4.3981129661986636e-30,0.051890148109693494,0.3642537243214926,9,5,True
snap_B_prev_0,1.7338802640206355e-30,0.06374974169157446,0.3555751185382515,9,5,True
snap_TP_2,1.1068360118538732e-30,0.050971912952554786,0.3730887325916709,9,5,True
LCC_fraction,1.0523162064043197e-30,0.04892599297199313,0.3687770765709841,9,5,True
snap_B_prev_2,9.942528464355785e-31,0.05326594206735425,0.361935921886609,9,5,True
snap_TP_0,6.184601495475272e-31,0.052321603537910294,0.34352561773051266,9,5,True
snap_MP_2,4.784052439672277e-31,0.05259768693401375,0.37695601867570416,9,5,True
snap_MP_0,0.0,0.04984392959577824,0.35742333389704994,9,5,True
