metric,eta2,ci_lo,ci_hi,n_conditions,n_seeds_per_condition,histogram_sign_only
traj_TP_0,0.3515870603978987,0.08533821723433169,0.7041657628653886,2,10,False
traj_B_prev_0,0.2943390444564918,0.04219043256367136,0.6710458564289148,2,10,False
traj_TP_1,0.26213545466048466,0.0533110379999486,0.551451508339778,2,10,False
snap_TP_1,0.16928582195671865,0.004783098942082197,0.48197336084992426,2,10,False
snap_B_base_0,0.15892454457632557,0.0025572099007115296,0.4901152607754319,2,10,False
phi_spectral,0.1574680983730747,0.00254123245099927,0.578910483474136,2,10,False
local_density,0.15710050958830246,0.0019166782545024803,0.47801457686123516,2,10,False
traj_B_prev_1,0.1563788067442684,0.006100343382273476,0.47078076128614466,2,10,False
traj_TP_2,0.14212935027544804,0.004379265595657626,0.39260070260154706,2,10,False
LCC_fraction,0.12741428831951965,0.0014535654640823756,0.463503108206216,2,10,False
snap_TP_2,0.1255056929116337,0.00069932519976558,0.45654166556609194,2,10,False
traj_MP_2,0.10916940158040482,0.0009288010155046781,0.4126414330357526,2,10,False
snap_B_prev_1,0.09769178957474171,0.007260428894681528,0.2815153186358881,2,10,False
traj_B_prev_2,0.09728249623996818,0.0006235059641812903,0.4567207221714185,2,10,False
polarization,0.0945523208557571,0.0008400819385260969,0.380507405438349,2,10,False
snap_B_base_1,0.07610755795488357,0.0002271733723422693,0.4259502346670167,2,10,False
snap_B_prev_0,0.062031601124607254,0.00024105265056532948,0.2749634988063772,2,10,False
snap_MP_1,0.05227647829739822,0.0004506427568484807,0.2768731392299314,2,10,False
angular_momentum_norm,0.049686467170977335,0.00010000425766005345,0.34119465409058924,2,10,False
snap_MP_2,0.0420360217814318,0.0001471405582464818,0.3411933598428928,2,10,False
snap_B_base_2,0.0420360217814318,0.0001471405582464818,0.3411933598428928,2,10,False
snap_B_prev_2,0.03995701776428353,0.00012571069862325702,0.3349082577905546,2,10,False
traj_MP_1,0.033157900047817705,0.00015187704634418562,0.33495560116123546,2,10,False
phi_norm,0.031325643406163575,0.00018527265373266403,0.40362589405811156,2,10,False
traj_B_base_1,0.029363637272531485,4.842021355338751e-05,0.33230734311676186,2,10,False
snap_TP_0,0.012904212816382625,6.898421592843662e-05,0.2511078002442102,2,10,False
traj_MP_0,0.002087903879028607,5.313868321665618e-05,0.6119760801488006,2,10,False
traj_B_base_2,0.0012218633229525572,4.56260900691541e-05,0.23136960139830373,2,10,False
milling_score,0.00043036668529791803,8.822076311473058e-05,0.25418409657386337,2,10,False
snap_MP_0,0.00035044694965333576,6.761405747660389e-05,0.453867399766195,2,10,False
traj_B_base_0,8.154188765229807e-05,6.784495135962488e-05,0.2299487561970955,2,10,False
