metric,eta2,ci_lo,ci_hi,n_conditions,n_seeds_per_condition,histogram_sign_only
traj_MP_0,0.9644674804213891,0.9559629575074763,0.9865991580831056,4,5,False
traj_B_base_0,0.830222899642019,0.7932429303268604,0.9279750396479259,4,5,False
traj_B_prev_2,0.8001470751930878,0.68226813793749,0.963058931510232,4,5,False
traj_MP_2,0.7815004776465327,0.6775181618484948,0.9474790841669263,4,5,False
traj_TP_0,0.7808949197161914,0.6840275144916702,0.9224560259248865,4,5,False
traj_TP_2,0.7804322430566796,0.6928752193027502,0.9377763297519335,4,5,False
phi_spectral,0.7674936621263644,0.7026618949125911,0.9153709131488471,4,5,False
traj_TP_1,0.6905351876647068,0.6305341631282334,0.8621993386233816,4,5,False
phi_norm,0.6525296175632466,0.5651632090483519,0.8625589498124714,4,5,False
snap_B_base_1,0.3967915383462345,0.2122136798937309,0.7667683502686417,4,5,False
traj_B_prev_1,0.36339744302720434,0.15951192463921646,0.7730765778204234,4,5,False
traj_B_prev_0,0.3289093447790577,0.14688483534761052,0.7165257767408599,4,5,False
snap_B_base_2,0.2786709557615277,0.11627219306020353,0.6924925976730147,4,5,False
traj_MP_1,0.2425574004715525,0.09954083461012854,0.6338779717594392,4,5,False
traj_B_base_1,0.1879238052414503,0.05802459198590729,0.6085989603704383,4,5,False
snap_B_base_0,0.06821273329006275,0.021660277287296133,0.5366780024042094,4,5,False
traj_B_base_2,0.02371946628462503,0.010353854570987269,0.48338732027400483,4,5,False
milling_score,0.005656505374214198,0.010601855634207485,0.44085708705789206,4,5,False
snap_MP_1,0.00395752673206422,0.015661195962049547,0.4379847896829955,4,5,False
polarization,0.0025409901521599777,0.005257139211494187,0.4208461255918522,4,5,False
snap_MP_2,0.0013150830162876738,0.015659593395478056,0.4329239642230652,4,5,False
snap_B_prev_0,0.001243372323905326,0.014663351402202322,0.43825423314791384,4,5,False
snap_TP_1,0.0010923723863583666,0.012393191242671919,0.4416034002879043,4,5,False
snap_B_prev_1,0.0007229973880472346,0.012080205043042972,0.4443932564896815,4,5,False
local_density,0.0007125740397148089,0.01104034736802801,0.46962207545698853,4,5,False
angular_momentum_norm,0.000645421999878154,0.011902208388066977,0.42971601404112364,4,5,False
snap_B_prev_2,0.0003356488171215046,0.012963366364784486,0.4076209405540987,4,5,False
snap_MP_0,6.814133616355455e-05,0.014621894651608468,0.4272356879385885,4,5,False
snap_TP_2,2.671425822181657e-05,0.01339949984003341,0.4523427961219623,4,5,False
LCC_fraction,1.5856154457098474e-05,0.01225404314336587,0.4463199796346094,4,5,False
snap_TP_0,1.5572049973310476e-05,0.015159407137429852,0.4091546596579768,4,5,False
