N,scenario,embedding,snap_TP_2,snap_MP_2,mean_radial_distance,nearest_neighbor_spacing,shell_thickness
40,none,unaugmented,0.537621,0.431103,14.2385,0.7817,4.7321
40,none,augmented,0.537565,0.430974,14.2385,0.7821,4.7321
40,milling,unaugmented,0.0,0.0,13.2527,0.1675,0.6432
40,milling,augmented,0.0,0.0,13.2527,0.1694,0.6432
80,none,unaugmented,0.608945,0.296195,22.7501,0.6936,1.5548
80,none,augmented,0.609275,0.296285,22.7501,0.6942,1.5548
80,milling,unaugmented,0.386273,0.335986,13.2721,0.1721,0.693
80,milling,augmented,0.386121,0.335887,13.2721,0.1737,0.693
120,none,unaugmented,0.677191,0.312872,29.1765,0.4641,6.4493
120,none,augmented,0.68219,0.313019,29.1765,0.4688,6.4493
120,milling,unaugmented,0.193749,0.111339,13.286,0.0908,0.8939
120,milling,augmented,0.194161,0.111496,13.286,0.0944,0.8939
160,none,unaugmented,1.601278,0.33787,22.6768,0.4838,6.2201
160,none,augmented,1.600744,0.337799,22.6768,0.4884,6.2201
160,milling,unaugmented,0.567485,0.523893,13.2979,0.0768,0.9376
160,milling,augmented,0.567655,0.523872,13.2979,0.0802,0.9376
