scenario,surrogate_mean,surrogate_95ci_lo,surrogate_95ci_hi,z_score,surrogate_std,shuffle_idx,kind,phi_spectral_mean,parquet_phi_mean,parquet_match
jamming_alpha_0.2,165.63529590225735,164.7148997202076,167.05674321942112,16.170743629726548,0.8802170272552015,-1,observed,179.86905978852124,179.86905978852124,True
jamming_alpha_0.2,165.63529590225735,164.7148997202076,167.05674321942112,16.170743629726548,0.8802170272552015,0,surrogate,166.66827257711407,,
jamming_alpha_0.2,165.63529590225735,164.7148997202076,167.05674321942112,16.170743629726548,0.8802170272552015,1,surrogate,164.64208063627356,,
jamming_alpha_0.2,165.63529590225735,164.7148997202076,167.05674321942112,16.170743629726548,0.8802170272552015,2,surrogate,167.16952501880058,,
jamming_alpha_0.2,165.63529590225735,164.7148997202076,167.05674321942112,16.170743629726548,0.8802170272552015,3,surrogate,165.34002153894468,,
jamming_alpha_0.2,165.63529590225735,164.7148997202076,167.05674321942112,16.170743629726548,0.8802170272552015,4,surrogate,165.13389673650738,,
jamming_alpha_0.2,165.63529590225735,164.7148997202076,167.05674321942112,16.170743629726548,0.8802170272552015,5,surrogate,166.58149752822487,,
jamming_alpha_0.2,165.63529590225735,164.7148997202076,167.05674321942112,16.170743629726548,0.8802170272552015,6,surrogate,165.01149880200015,,
jamming_alpha_0.2,165.63529590225735,164.7148997202076,167.05674321942112,16.170743629726548,0.8802170272552015,7,surrogate,164.97199844323936,,
jamming_alpha_0.2,165.63529590225735,164.7148997202076,167.05674321942112,16.170743629726548,0.8802170272552015,8,surrogate,164.96572100931374,,
jamming_alpha_0.2,165.63529590225735,164.7148997202076,167.05674321942112,16.170743629726548,0.8802170272552015,9,surrogate,165.86844673215512,,
